payment_id,member_id,payment_date,payment_method,amount
1,93,8/31/2024,Credit Card,55
2,76,11/1/2024,Venmo,29
3,12,1/29/2024,Check,37
4,94,12/8/2023,Cash,74
5,58,2/27/2024,PayPal,78
6,66,8/12/2024,Venmo,29
7,211,3/30/2024,Check,27
8,23,7/11/2024,PayPal,29
9,46,9/15/2024,Venmo,62
10,47,10/31/2024,Credit Card,95
11,165,6/26/2024,Debit Card,98
12,73,3/4/2024,Debit Card,61
13,230,9/2/2024,PayPal,42
14,239,11/8/2024,PayPal,38
15,166,6/16/2024,PayPal,45
16,218,8/30/2024,Debit Card,75
17,202,12/26/2023,Check,70
18,48,3/27/2024,PayPal,59
19,148,12/10/2023,Debit Card,65
20,102,3/20/2024,Check,42
21,128,12/22/2023,Credit Card,61
22,48,7/3/2024,Credit Card,35
23,37,4/14/2024,Cash,44
24,67,6/5/2024,Venmo,40
25,133,8/10/2024,Cash,70
26,143,10/16/2024,Debit Card,41
27,130,4/18/2024,Debit Card,27
28,147,6/28/2024,Venmo,43
29,173,6/14/2024,Credit Card,44
30,227,8/7/2024,Check,74
